Symbol,Name,,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio(TTM),52 WkChange %,52 Wk Range
NVO,Novo Nordisk A/S,,,+2.80,+5.41%,10.719M,14.432M,235.852B,13.93,-61.25%,
RUN,Sunrun Inc.,,,+2.13,+15.30%,14.213M,24.218M,3.703B,--,-31.29%,
PLTR,Palantir Technologies Inc.,,,-1.71,-0.96%,7.909M,73.009M,416.263B,584.88,+445.14%,
BTAI,"BioXcel Therapeutics, Inc.",,,+0.61,+11.09%,21.504M,7.576M,88.621M,--,-51.76%,
PPCB,"Propanc Biopharma, Inc. Common Stock",,,+6.27,+218.01%,27.228M,"10,072",106.132M,--,"+239,066.67%",
FSLR,"First Solar, Inc.",,,+14.49,+7.25%,1.85M,4.116M,22.998B,18.33,-12.45%,
VTAK,"Catheter Precision, Inc.",,,+1.2423,+47.46%,32.49M,"778,386",4.728M,0.11,-93.78%,
SNGX,"Soligenix, Inc.",,,+0.9600,+34.53%,42.616M,8.065M,12.209M,--,-46.33%,
PANW,"Palo Alto Networks, Inc.",,,-1.69,-0.96%,1.395M,7.167M,117.153B,100.80,+3.15%,
NOVO-B.CO,Novo Nordisk A/S,,,+23.05,+7.07%,7.385M,6.703M,1.551T,13.98,-64.38%,
NIO,NIO Inc.,,,+0.0900,+1.87%,8.814M,50.607M,10.45B,--,+18.18%,
ENPH,"Enphase Energy, Inc.",,,+2.33,+6.67%,3.284M,9.266M,4.859B,28.81,-70.90%,
DAY,Dayforce Inc,,,+14.54,+27.50%,2.328M,1.843M,10.77B,224.82,-4.84%,
ADAP,Adaptimmune Therapeutics plc,,,+0.0172,+28.91%,350.512M,18.89M,20.329M,--,-94.64%,
SEDG,"SolarEdge Technologies, Inc.",,,+1.11,+3.69%,1.933M,5.687M,1.851B,--,+9.19%,
TSLA,"Tesla, Inc.",,,+2.34,+0.71%,8.111M,102.887M,1.074T,196.98,+48.42%,
WMT,Walmart Inc.,,,+0.16,+0.16%,"985,396",15.512M,799.53B,42.81,+35.65%,
FNMA,Federal National Mortgage Association,,,+0.04,+0.36%,"32,340",9.253M,13.005B,--,+781.89%,
IQ,"iQIYI, Inc.",,,+0.3300,+16.50%,34.09M,19.654M,2.234B,58.00,-39.88%,
DHAI,"DIH Holding US, Inc.",,,+0.0480,+20.08%,78.101M,3.889M,13.604M,--,-90.22%,
NXT,Nextracker Inc.,,,+5.59,+9.22%,1.223M,2.503M,10.043B,18.03,+50.40%,
SHCO,Soho House & Co Inc.,,,+1.19,+15.56%,4.851M,"246,501",1.722B,--,+34.98%,
ASBP,"Aspire Biopharma Holdings, Inc.",,,+0.2521,+70.22%,135.646M,15.02M,30.265M,--,-96.80%,
MSTR,Strategy Inc,,,-5.14,-1.40%,1.449M,11.78M,102.415B,25.35,+170.65%,
ENLV,Enlivex Therapeutics Ltd.,,,-0.3597,-19.76%,5.678M,"238,751",34.828M,--,+44.44%,
