Symbol,Name,,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio(TTM),52 WkChange %,52 Wk Range
HD,"The Home Depot, Inc.",,,+18.52,+4.69%,2.357M,3.487M,411.124B,28.07,+7.47%,
VKTX,"Viking Therapeutics, Inc.",,,-16.91,-40.18%,25.004M,3.857M,2.831B,--,-36.36%,
INTC,Intel Corporation,,,+2.45,+10.37%,83.982M,94.398M,114.296B,--,+12.72%,
PANW,"Palo Alto Networks, Inc.",,,+6.56,+3.72%,8.901M,7.379M,122.049B,114.20,-4.26%,
MDT,Medtronic plc,,,-4.34,-4.68%,5.355M,7.901M,113.353B,24.51,+8.70%,
APLD,Applied Digital Corporation,,,-0.36,-2.23%,6.785M,50.101M,4.178B,--,+305.46%,
OPEN,Opendoor Technologies Inc.,,,-0.0140,-0.37%,123.129M,204.908M,2.772B,--,+94.34%,
LASE,Laser Photonics Corporation,,,+1.8600,+75.61%,84.267M,"316,217",61.673M,--,-12.77%,
XPEV,XPeng Inc.,,,+0.16,+0.78%,4.938M,6.99M,19.25B,--,+193.94%,
GDRX,"GoodRx Holdings, Inc.",,,-0.1200,-2.34%,3.947M,2.366M,1.737B,55.56,-32.81%,
GXAI,Gaxos.ai Inc.,,,+0.8387,+76.25%,101.953M,"127,619",13.81M,--,-56.66%,
FVRR,Fiverr International Ltd.,,,+0.24,+1.02%,"216,454","794,080",881.219M,48.69,-7.91%,
VCIG,VCI Global Limited,,,+0.1704,+20.06%,62.198M,3.837M,27.479M,0.02,-99.56%,
LIDR,"AEye, Inc.",,,+0.1100,+4.23%,9.018M,17.859M,108.246M,--,+96.97%,
LOW,"Lowe's Companies, Inc.",,,+6.44,+2.57%,"521,433",2.829M,144.218B,21.28,+4.39%,
PRFX,PainReform Ltd.,,,+1.6700,+124.63%,92.701M,"168,935",6.06M,--,-15.08%,
IOVA,"Iovance Biotherapeutics, Inc.",,,+0.2150,+8.60%,17.099M,16.874M,982.434M,--,-77.86%,
L.TO,Loblaw Companies Limited,,,+1.34,+2.33%,"112,530",1.355M,17.548B,29.23,+34.81%,
CIFR,Cipher Mining Inc.,,,-0.14,-2.31%,4.674M,32.219M,2.324B,--,+53.16%,
RKLB,Rocket Lab Corporation,,,-1.69,-3.76%,6.294M,22.797M,20.879B,--,+576.24%,
DUOL,"Duolingo, Inc.",,,-16.18,-4.38%,"322,753",1.237M,16.176B,144.68,+81.13%,
ADD,"Color Star Technology Co., Ltd.",,,+0.0263,+29.32%,242.279M,4.858M,1.698M,0.00,-99.88%,
CRWD,"CrowdStrike Holdings, Inc.",,,-0.56,-0.13%,"550,222",3.335M,106.125B,--,+59.96%,
AREC,American Resources Corporation,,,+0.1400,+11.02%,11.721M,2.155M,116.007M,--,+135.19%,
VIK,Viking Holdings Ltd,,,-1.83,-3.05%,1.133M,3.325M,25.865B,79.95,+67.55%,
